,iso_a3,name,sovereignt,continent
5,ALB,Albania,Albania,Europe
6,ALA,Aland,Finland,Europe
7,AND,Andorra,Andorra,Europe
17,AUT,Austria,Austria,Europe
20,BEL,Belgium,Belgium,Europe
24,BGR,Bulgaria,Bulgaria,Europe
27,BIH,Bosnia and Herz.,Bosnia and Herzegovina,Europe
29,BLR,Belarus,Belarus,Europe
40,CHE,Switzerland,Switzerland,Europe
57,CZE,Czech Rep.,Czech Republic,Europe
58,DEU,Germany,Germany,Europe
61,DNK,Denmark,Denmark,Europe
67,ESP,Spain,Spain,Europe
68,EST,Estonia,Estonia,Europe
70,FIN,Finland,Finland,Europe
73,FRA,France,France,Europe
74,FRO,Faeroe Is.,Denmark,Europe
77,GBR,United Kingdom,United Kingdom,Europe
79,GGY,Guernsey,United Kingdom,Europe
85,GRC,Greece,Greece,Europe
94,HRV,Croatia,Croatia,Europe
96,HUN,Hungary,Hungary,Europe
98,IMN,Isle of Man,United Kingdom,Europe
102,IRL,Ireland,Ireland,Europe
105,ISL,Iceland,Iceland,Europe
107,ITA,Italy,Italy,Europe
109,JEY,Jersey,United Kingdom,Europe
120,NA,Kosovo,Kosovo,Europe
127,LIE,Liechtenstein,Liechtenstein,Europe
130,LTU,Lithuania,Lithuania,Europe
131,LUX,Luxembourg,Luxembourg,Europe
132,LVA,Latvia,Latvia,Europe
136,MCO,Monaco,Monaco,Europe
137,MDA,Moldova,Moldova,Europe
142,MKD,Macedonia,Macedonia,Europe
144,MLT,Malta,Malta,Europe
146,MNE,Montenegro,Montenegro,Europe
162,NLD,Netherlands,Netherlands,Europe
163,NOR,Norway,Norway,Europe
175,POL,Poland,Poland,Europe
178,PRT,Portugal,Portugal,Europe
183,ROU,Romania,Romania,Europe
184,RUS,Russia,Russia,Europe
197,SMR,San Marino,San Marino,Europe
201,SRB,Serbia,Republic of Serbia,Europe
204,SVK,Slovakia,Slovakia,Europe
205,SVN,Slovenia,Slovenia,Europe
206,SWE,Sweden,Sweden,Europe
225,UKR,Ukraine,Ukraine,Europe
229,VAT,Vatican,Vatican,Europe
